timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538058807665,904,HTTP Request,200,,Load 1-4,text,true,,2827,139,10,202,http://10.0.10.10:9966/petclinic/api/owners,903,0,41
1538058807555,1310,HTTP Request,200,,Load 1-5,text,true,,2827,139,10,202,http://10.0.10.10:9966/petclinic/api/owners,1049,0,6
1538058807051,1860,HTTP Request,200,,Load 1-10,text,true,,2827,139,10,202,http://10.0.10.10:9966/petclinic/api/owners,1858,0,2
1538058807155,4073,HTTP Request,200,,Load 1-9,text,true,,2827,139,10,171,http://10.0.10.10:9966/petclinic/api/owners,4072,0,36
1538058807350,3993,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,168,http://10.0.10.10:9966/petclinic/api/owners,3993,0,60
1538058807949,4176,HTTP Request,200,,Load 1-1,text,true,,2827,139,10,143,http://10.0.10.10:9966/petclinic/api/owners,4173,0,46
1538058807249,5961,HTTP Request,200,,Load 1-8,text,true,,2827,139,10,98,http://10.0.10.10:9966/petclinic/api/owners,5961,0,31
1538058807449,5950,HTTP Request,200,,Load 1-6,text,true,,2827,139,10,89,http://10.0.10.10:9966/petclinic/api/owners,5950,0,2
1538058808866,4558,HTTP Request,200,,Load 1-5,text,true,,2827,139,10,88,http://10.0.10.10:9966/petclinic/api/owners,4558,0,4
1538058808911,4623,HTTP Request,200,,Load 1-10,text,true,,2827,139,10,81,http://10.0.10.10:9966/petclinic/api/owners,4403,0,17
1538058811344,2654,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,40,http://10.0.10.10:9966/petclinic/api/owners,2652,0,2
1538058808572,5509,HTTP Request,200,,Load 1-4,text,true,,2827,139,10,37,http://10.0.10.10:9966/petclinic/api/owners,5507,0,2
1538058812127,1981,HTTP Request,200,,Load 1-1,text,true,,2827,139,10,37,http://10.0.10.10:9966/petclinic/api/owners,1981,0,2
1538058813425,693,HTTP Request,200,,Load 1-5,text,true,,2827,139,10,37,http://10.0.10.10:9966/petclinic/api/owners,691,0,10
1538058813998,145,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,37,http://10.0.10.10:9966/petclinic/api/owners,145,0,5
1538058814082,121,HTTP Request,200,,Load 1-4,text,true,,2827,139,10,32,http://10.0.10.10:9966/petclinic/api/owners,119,0,2
1538058814118,105,HTTP Request,200,,Load 1-5,text,true,,2827,139,10,30,http://10.0.10.10:9966/petclinic/api/owners,105,0,2
1538058814143,116,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,29,http://10.0.10.10:9966/petclinic/api/owners,116,0,3
1538058814259,63,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,29,http://10.0.10.10:9966/petclinic/api/owners,63,0,11
1538058811230,3250,HTTP Request,200,,Load 1-9,text,true,,2827,139,10,23,http://10.0.10.10:9966/petclinic/api/owners,3250,0,2
1538058814223,322,HTTP Request,200,,Load 1-5,text,true,,2827,139,10,20,http://10.0.10.10:9966/petclinic/api/owners,321,0,9
1538058813535,1138,HTTP Request,200,,Load 1-10,text,true,,2827,139,10,19,http://10.0.10.10:9966/petclinic/api/owners,1138,0,2
1538058814323,390,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,18,http://10.0.10.10:9966/petclinic/api/owners,347,0,32
1538058813212,1527,HTTP Request,200,,Load 1-8,text,true,,2827,139,10,16,http://10.0.10.10:9966/petclinic/api/owners,1526,0,26
1538058814545,241,HTTP Request,200,,Load 1-5,text,true,,2827,139,10,15,http://10.0.10.10:9966/petclinic/api/owners,199,0,2
1538058807758,7034,HTTP Request,200,,Load 1-3,text,true,,2827,139,10,15,http://10.0.10.10:9966/petclinic/api/owners,7033,0,7
1538058807850,7008,HTTP Request,200,,Load 1-2,text,true,,2827,139,10,11,http://10.0.10.10:9966/petclinic/api/owners,7007,0,2
1538058814673,240,HTTP Request,200,,Load 1-10,text,true,,2827,139,10,11,http://10.0.10.10:9966/petclinic/api/owners,238,0,2
1538058814739,174,HTTP Request,200,,Load 1-8,text,true,,2827,139,10,11,http://10.0.10.10:9966/petclinic/api/owners,171,0,1
1538058814109,815,HTTP Request,200,,Load 1-1,text,true,,2827,139,10,11,http://10.0.10.10:9966/petclinic/api/owners,815,0,1
1538058814857,66,HTTP Request,200,,Load 1-2,text,true,,2827,139,10,11,http://10.0.10.10:9966/petclinic/api/owners,65,0,7
1538058814203,773,HTTP Request,200,,Load 1-4,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,771,0,28
1538058814713,272,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,271,0,2
1538058813401,1614,HTTP Request,200,,Load 1-6,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,1614,0,33
1538058814911,106,HTTP Request,200,,Load 1-10,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,46,0,7
1538058814480,606,HTTP Request,200,,Load 1-9,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,606,0,16
1538058814786,364,HTTP Request,200,,Load 1-5,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,363,0,2
1538058814911,251,HTTP Request,200,,Load 1-8,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,251,0,7
1538058814793,383,HTTP Request,200,,Load 1-3,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,383,0,2
1538058815174,49,HTTP Request,200,,Load 1-3,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,44,0,17
1538058814923,321,HTTP Request,200,,Load 1-2,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,318,0,5
1538058814975,313,HTTP Request,200,,Load 1-4,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,312,0,25
1538058815013,279,HTTP Request,200,,Load 1-6,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,278,0,5
1538058814922,404,HTTP Request,200,,Load 1-1,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,404,0,6
1538058814983,354,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,115,0,17
1538058815162,184,HTTP Request,200,,Load 1-8,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,184,0,28
1538058815085,282,HTTP Request,200,,Load 1-9,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,281,0,2
1538058815018,359,HTTP Request,200,,Load 1-10,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,359,0,1
1538058815224,193,HTTP Request,200,,Load 1-3,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,192,0,1
1538058815367,123,HTTP Request,200,,Load 1-9,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,122,0,5
1538058815326,269,HTTP Request,200,,Load 1-1,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,269,0,3
1538058815337,324,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,171,0,4
1538058815347,330,HTTP Request,200,,Load 1-8,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,328,0,1
1538058815244,448,HTTP Request,200,,Load 1-2,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,448,0,2
1538058815149,570,HTTP Request,200,,Load 1-5,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,545,0,41
1538058815378,403,HTTP Request,200,,Load 1-10,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,403,0,1
1538058815292,547,HTTP Request,200,,Load 1-6,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,545,0,2
1538058815692,211,HTTP Request,200,,Load 1-2,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,183,0,4
1538058815719,189,HTTP Request,200,,Load 1-5,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,188,0,3
1538058815661,256,HTTP Request,200,,Load 1-7,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,255,0,5
1538058815417,507,HTTP Request,200,,Load 1-3,text,true,,2827,139,10,10,http://10.0.10.10:9966/petclinic/api/owners,507,0,80
